project,model,dataset,input_h,input_w,top_k,multi_label,q_tokenizer,a_tokenizer,text_max,batch_size,epochs,lr,lr_reduce,weight_decay,gradient_clipping,device,cpu_num,multi_gpu,gpu_num,seed,log_interval,timestamp,memo,load_model,cv_pretrained,cv_filter,cv_kernel,cv_stride,cv_layer,cv_batchnorm,te_pretrained,te_type,te_embedding,te_hidden,te_layer,te_dropout,te_bidir,cf_pretrained,film_res_kernel,film_res_layer,film_cf_filter,film_fc_hidden,film_fc_layer,basern_gt_hidden,basern_gt_layer,basern_fp_hidden,basern_fp_layer,basern_fp_dropout,rn_gt_hidden,rn_gt_layer,rn_fp_hidden,rn_fp_layer,rn_fp_dropout,sarn_hp_hidden,sarn_hp_layer,sarn_gt_hidden,sarn_gt_layer,sarn_fp_hidden,sarn_fp_layer,sarn_fp_dropout,san_layer,san_k,mrn_hidden,mrn_layer,mlb_hidden,mlb_glimpse,c17w_hidden,c17w_dropout,mac_step,mac_hidden,mac_sa,mac_mg,mac_dropout,q_size,a_size,qt_size,Test_Latest_TotalAcc(value),Test_Latest_TotalAcc(epoch),Test_Latest_TotalLoss,Test_Latest_QT_greater_than,Test_Latest_QT_count,Test_Latest_QT_equal_color,Test_Latest_QT_query_material,Test_Latest_QT_query_size,Test_Latest_QT_query_shape,Test_Latest_QT_exist,Test_Latest_QT_query_color,Test_Latest_QT_equal_material,Test_Latest_QT_equal_integer,Test_Latest_QT_equal_size,Test_Latest_QT_equal_shape,Test_Latest_QT_less_than,Test_Max_TotalAcc(value),Test_Max_TotalAcc(epoch),Test_Max_TotalLoss,Test_Max_QT_greater_than,Test_Max_QT_count,Test_Max_QT_equal_color,Test_Max_QT_query_material,Test_Max_QT_query_size,Test_Max_QT_query_shape,Test_Max_QT_exist,Test_Max_QT_query_color,Test_Max_QT_equal_material,Test_Max_QT_equal_integer,Test_Max_QT_equal_size,Test_Max_QT_equal_shape,Test_Max_QT_less_than,Test_MaxRA(5)_TotalAcc(value),Test_MaxRA(5)_TotalAcc(epoch),Test_MaxRA(5)_TotalLoss,Test_MaxRA(5)_QT_greater_than,Test_MaxRA(5)_QT_count,Test_MaxRA(5)_QT_equal_color,Test_MaxRA(5)_QT_query_material,Test_MaxRA(5)_QT_query_size,Test_MaxRA(5)_QT_query_shape,Test_MaxRA(5)_QT_exist,Test_MaxRA(5)_QT_query_color,Test_MaxRA(5)_QT_equal_material,Test_MaxRA(5)_QT_equal_integer,Test_MaxRA(5)_QT_equal_size,Test_MaxRA(5)_QT_equal_shape,Test_MaxRA(5)_QT_less_than,Train_Latest_TotalAcc(value),Train_Latest_TotalAcc(epoch),Train_Latest_TotalLoss,Train_Latest_QT_greater_than,Train_Latest_QT_count,Train_Latest_QT_equal_color,Train_Latest_QT_query_material,Train_Latest_QT_query_size,Train_Latest_QT_query_shape,Train_Latest_QT_exist,Train_Latest_QT_query_color,Train_Latest_QT_equal_material,Train_Latest_QT_equal_integer,Train_Latest_QT_equal_size,Train_Latest_QT_equal_shape,Train_Latest_QT_less_than,Train_Max_TotalAcc(value),Train_Max_TotalAcc(epoch),Train_Max_TotalLoss,Train_Max_QT_greater_than,Train_Max_QT_count,Train_Max_QT_equal_color,Train_Max_QT_query_material,Train_Max_QT_query_size,Train_Max_QT_query_shape,Train_Max_QT_exist,Train_Max_QT_query_color,Train_Max_QT_equal_material,Train_Max_QT_equal_integer,Train_Max_QT_equal_size,Train_Max_QT_equal_shape,Train_Max_QT_less_than,Train_MaxRA(5)_TotalAcc(value),Train_MaxRA(5)_TotalAcc(epoch),Train_MaxRA(5)_TotalLoss,Train_MaxRA(5)_QT_greater_than,Train_MaxRA(5)_QT_count,Train_MaxRA(5)_QT_equal_color,Train_MaxRA(5)_QT_query_material,Train_MaxRA(5)_QT_query_size,Train_MaxRA(5)_QT_query_shape,Train_MaxRA(5)_QT_exist,Train_MaxRA(5)_QT_query_color,Train_MaxRA(5)_QT_equal_material,Train_MaxRA(5)_QT_equal_integer,Train_MaxRA(5)_QT_equal_size,Train_MaxRA(5)_QT_equal_shape,Train_MaxRA(5)_QT_less_than,Finished
vqa,c17w,vqa2,448,448,8,True,nltk,act,,512,100,0.00025,False,0,,cuda:0,8,False,4,1,10,190214224140,default,,True,512,3,2,5,False,True,gru,300,512,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,22250,3,0.24851259032089223,2,0.2093615677440539,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0.24658240613748966,2,0.2093615677440539,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,512,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190214224942,default,,True,512,3,2,5,False,True,gru,300,512,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,512,100,0.00025,False,0,,cuda:2,8,False,4,1,10,190214225238,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,True,nltk,act,,512,100,0.00025,False,0,,cuda:2,8,False,4,1,10,190214225212,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,22250,3,0.2486509910770072,1,0.2223568290064577,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0.24681000799183037,1,0.2223568290064577,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,512,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190214225254,default,,True,512,3,2,5,False,True,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0.40546244692475414,6,813.3939229249954,,,,,,,,,,,,,,0.40546244692475414,6,813.3939229249954,,,,,,,,,,,,,,0.38475624055123414,6,813.3939229249954,,,,,,,,,,,,,,0.4577115506447269,6,813.3939229249954,,,,,,,,,,,,,,0.4577115506447269,6,1441.9352363348007,,,,,,,,,,,,,,0.4064542548604436,6,1441.9352363348007,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,512,100,0.00025,False,0,,cuda:2,8,False,4,1,10,190214225332,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,512,100,0.00025,False,0,,cuda:3,8,False,4,1,10,190214225631,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0.4055223202925812,6,815.0690139532089,,,,,,,,,,,,,,0.4055223202925812,6,815.0690139532089,,,,,,,,,,,,,,0.38911502172904305,6,815.0690139532089,,,,,,,,,,,,,,0.4693004959808449,6,815.0690139532089,,,,,,,,,,,,,,0.4693004959808449,6,1380.6471639871597,,,,,,,,,,,,,,0.4226103671799912,6,1380.6471639871597,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,80,True,nltk,act,,512,100,0.00025,False,0,,cuda:0,8,False,4,1,10,190215103637,default,,True,512,3,2,5,False,True,gru,300,512,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3549,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,80,True,nltk,act,,512,100,0.00025,False,0,,cuda:0,8,False,4,1,10,190215103929,default,,True,512,3,2,5,False,True,gru,300,512,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3549,3,0.00013529022293512057,11,nan,,,,,,,,,,,,,,0.00013529022293512057,10,nan,,,,,,,,,,,,,,0.00013529022276828075,4,nan,,,,,,,,,,,,,,0.00014196959361469072,11,nan,,,,,,,,,,,,,,0.00014196959361469072,11,nan,,,,,,,,,,,,,,0.0001455751702721648,4,nan,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,80,True,nltk,act,,512,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190215103945,default,,True,512,3,2,5,False,True,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3549,3,0.2545011255168236,11,0.9652979210950434,,,,,,,,,,,,,,0.25506250254813817,10,0.9741804599761963,,,,,,,,,,,,,,0.25395778765381605,11,0.9652979210950434,,,,,,,,,,,,,,0.2552200161891757,11,0.9652979210950434,,,,,,,,,,,,,,0.2552200161891757,11,1.981764413882047,,,,,,,,,,,,,,0.2538507987606723,11,1.981764413882047,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,80,True,nltk,act,,512,100,0.00025,False,0,,cuda:2,8,False,4,1,10,190215104112,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3549,3,0.00013529022293512057,11,nan,,,,,,,,,,,,,,0.00013529022293512057,10,nan,,,,,,,,,,,,,,0.00013529022276828075,4,nan,,,,,,,,,,,,,,0.00014196959361469072,11,nan,,,,,,,,,,,,,,0.00014196959361469072,11,nan,,,,,,,,,,,,,,0.0001436221493521201,4,nan,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,80,True,nltk,act,,512,100,0.00025,False,0,,cuda:3,8,False,4,1,10,190215104249,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3549,3,0.30419617939973265,11,0.852238807361573,,,,,,,,,,,,,,0.30419617939973265,11,0.852238807361573,,,,,,,,,,,,,,0.2643095117366431,11,0.852238807361573,,,,,,,,,,,,,,0.2982540798939653,11,0.852238807361573,,,,,,,,,,,,,,0.2982540798939653,11,1.7867299802601337,,,,,,,,,,,,,,0.26224413095154453,11,1.7867299802601337,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,512,100,0.00025,False,0,,cuda:2,8,False,4,1,10,190215140537,default,,True,512,3,2,5,False,True,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0.4098681289073609,21,979.8181278705597,,,,,,,,,,,,,,0.4194927727855585,11,803.4059875011444,,,,,,,,,,,,,,0.418723400008981,13,817.2419292926788,,,,,,,,,,,,,,0.7829824853000334,21,979.8181278705597,,,,,,,,,,,,,,0.7829824853000334,21,618.7928906083107,,,,,,,,,,,,,,0.744153857642176,21,618.7928906083107,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,512,100,0.00025,False,0,,cuda:3,8,False,4,1,10,190215140613,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0.400203569450612,21,574.9111252427101,,,,,,,,,,,,,,0.40921451130858233,14,844.0605071783066,,,,,,,,,,,,,,0.4078913098796046,15,855.0589199066162,,,,,,,,,,,,,,0.7920927308334357,21,574.9111252427101,,,,,,,,,,,,,,0.7920927308334357,21,574.9111252427101,,,,,,,,,,,,,,0.7476943755916722,21,574.9111252427101,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,True,nltk,act,,512,100,0.00025,False,0,,cuda:0,8,False,4,1,10,190215141928,normalized_embedding,,True,512,3,2,5,False,True,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,22250,3,0.4464048630514307,99,0.12671162796323188,,,,,,,,,,,,,,0.4483269177929811,74,0.12599417543970048,,,,,,,,,,,,,,0.4475714691087223,78,0.12655416294001043,,,,,,,,,,,,,,0.5607288153174005,99,0.12671162796323188,,,,,,,,,,,,,,0.5607288153174005,99,0.20235253110877238,,,,,,,,,,,,,,0.5588554174240601,99,0.20235253110877238,,,,,,,,,,,,,,True
vqa,c17w,vqa2,448,448,8,True,nltk,act,,512,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190215141943,normalized_embedding,,True,512,3,2,5,False,True,gru,300,512,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,22250,3,0.07133060432970176,8,126.09235616028309,,,,,,,,,,,,,,0.07133060432970176,8,126.09235616028309,,,,,,,,,,,,,,0.022349011921704222,8,126.09235616028309,,,,,,,,,,,,,,0.022505560920057524,8,126.09235616028309,,,,,,,,,,,,,,0.022505560920057524,8,86.31263145059347,,,,,,,,,,,,,,0.009371946230772343,8,86.31263145059347,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,2,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190215143838,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,2,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190215143950,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,2,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190215144111,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,2,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190215144216,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,2,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190215144256,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,2,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190215144427,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,2,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190215144633,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,2,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190215145016,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,512,100,0.00025,False,0,,cuda:3,8,False,4,1,10,190215162718,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,512,100,0.00025,False,0,,cuda:2,8,False,4,1,10,190215162711,default,,True,512,3,2,5,False,True,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,False
vqa,c17w,vqa2,448,448,8,False,nltk,act,,512,100,0.00025,False,0,,cuda:3,8,False,4,1,10,190215162933,default,,True,512,3,2,5,False,False,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0.47173727566197493,99,1860.1320099830627,,,,,,,,,,,,,,0.48954960259052105,11,711.9490704536438,,,,,,,,,,,,,,0.4883491415655888,14,751.6293901205063,,,,,,,,,,,,,,0.9920773142360233,99,1860.1320099830627,,,,,,,,,,,,,,0.9939658474190448,97,19.09671027213335,,,,,,,,,,,,,,0.9927734699629278,97,19.09671027213335,,,,,,,,,,,,,,True
vqa,c17w,vqa2,448,448,8,False,nltk,act,,512,100,0.00025,False,0,,cuda:2,8,False,4,1,10,190215162927,default,,True,512,3,2,5,False,True,gru,300,512,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,3442,3,0.43152731971879477,99,1531.0464463233948,,,,,,,,,,,,,,0.459243699575398,14,790.1334108114243,,,,,,,,,,,,,,0.45816198739665603,18,805.232692360878,,,,,,,,,,,,,,0.9592182821574564,99,1531.0464463233948,,,,,,,,,,,,,,0.9592182821574564,99,114.5501324981451,,,,,,,,,,,,,,0.9544834596771669,99,114.5501324981451,,,,,,,,,,,,,,True
vqa,c17w,vqa2,448,448,8,True,nltk,act,,512,100,0.00025,False,0,,cuda:1,8,False,4,1,10,190215162922,default,,True,512,3,2,5,False,True,gru,300,512,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0,,,,,,16180,22250,3,0.00012129468382046098,99,446.5923573374748,,,,,,,,,,,,,,0.242130622937446,93,234.66997312009335,,,,,,,,,,,,,,0.1378240382156266,87,290.01074232161045,,,,,,,,,,,,,,0.06591445460772215,99,446.5923573374748,,,,,,,,,,,,,,0.11581113309514139,67,157.50795114785433,,,,,,,,,,,,,,0.10216898191268728,84,250.6591555699706,,,,,,,,,,,,,,True
vqa,film,clevr,224,224,0,False,,,,64,200,0.0003,False,1e-05,0,cuda:1,4,False,4,1,10,190217165257,default,,True,128,3,3,5,False,False,gru,200,4096,1,0,False,False,3,4,512,1024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,83,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
vqa,film,clevr,224,224,0,False,,,,64,200,0.0003,False,1e-05,0,cuda:1,4,False,4,1,10,190217165628,default,,True,128,3,3,5,False,False,gru,200,4096,1,0,False,False,3,4,512,1024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,83,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
vqa,film,clevr,224,224,0,False,,,,64,200,0.0003,False,1e-05,0,cuda:1,4,False,4,1,10,190217170010,default,,True,128,3,3,5,False,False,gru,200,4096,1,0,False,False,3,4,512,1024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,83,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
vqa,mac,clevr,224,224,0,False,,,,64,20,0.0001,False,,,cuda:1,4,False,4,1,10,190217171240,default,,True,512,3,3,5,False,False,lstm,300,512,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,512,False,False,0.15,83,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
vqa,mac,clevr,224,224,0,False,,,,64,20,0.0001,False,,,cuda:1,4,False,4,1,10,190217171331,default,,True,512,3,3,5,False,False,lstm,300,512,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,512,False,False,0.15,83,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
vqa,mac,clevr,224,224,0,False,,,,64,20,0.0001,False,,,cuda:1,4,False,4,1,10,190217171408,default,,True,512,3,3,5,False,False,lstm,300,512,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,512,False,False,0.15,83,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
vqa,mac,clevr,224,224,0,False,,,,64,20,0.0001,False,,,cuda:1,4,False,4,1,10,190217171705,default,,True,512,3,3,5,False,False,lstm,300,512,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,512,False,False,0.15,83,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
vqa,mac,clevr,224,224,0,False,,,,64,20,0.0001,False,,,cuda:1,4,False,4,1,10,190217171828,default,,True,512,3,3,5,False,False,lstm,300,512,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,512,False,False,0.15,83,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
